,Rent (â‚¹),BHK,Property Type,Address,Link
0,"10,000",2BHK 1Bath ,Independent/Builder Floor for Rent,Krishna Colony ,"https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-krishna-colony-gurgaon-1150-sq-ft-spid-I62881050
"
1,"10,010",2BHK 2Baths ,Residential Apartment for Rent,Signature Global Grand IVA Sector-103 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-signature-global-grand-iva-sector-103-gurgaon-713-sq-ft-spid-X62657652
"
2,"10,020",2BHK 2Baths ,Residential Apartment for Rent,Signature Global Grand IVA Sector-103 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-signature-global-grand-iva-sector-103-gurgaon-713-sq-ft-spid-L62667216
"
3,"10,100",2BHK 2Baths ,Residential Apartment for Rent,Signature Global Grand IVA Sector-103 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-signature-global-grand-iva-sector-103-gurgaon-713-sq-ft-spid-T62790520
"
4,"12,000",2BHK 2Baths ,Independent/Builder Floor for Rent,Jacobpura ,"https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-jacobpura-gurgaon-1150-sq-ft-spid-E62881110
"
5,"12,550",2BHK 2Baths ,Residential Apartment for Rent,Pyramid Urban Homes 2 Sector-86 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-pyramid-urban-homes-2-sector-86-gurgaon-5155-sq-ft-spid-V62149602
"
6,"13,500",2BHK 2Baths ,Independent/Builder Floor for Rent,Sector-83 Gurgaon ,"https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-sector-83-gurgaon-1050-sq-ft-spid-O62514814
"
7,"15,000",2BHK 2Baths ,Residential Apartment for Rent,Indiabulls Centrum Park Sector-103 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-indiabulls-centrum-park-sector-103-gurgaon-1315-sq-ft-r8-spid-O53066316
"
8,"16,000",2BHK 2Baths ,Independent/Builder Floor for Rent,Vatika Independent Floors Sector-82 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-vatika-independent-floors-sector-82-gurgaon-930-sq-ft-spid-B62846390
"
9,"16,000",2BHK 2Baths ,Independent/Builder Floor for Rent,Vatika Emilia Floors Sector-83 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-vatika-emilia-floors-sector-83-gurgaon-930-sq-ft-spid-W62774852
"
10,"16,000",2BHK 2Baths ,Independent/Builder Floor for Rent,Vatika India Next Sector-82 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-vatika-india-next-sector-82-gurgaon-1600-sq-ft-spid-X62944834
"
11,"17,500",2BHK 2Baths ,Residential Apartment for Rent,M3M Woodshire Sector-107 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-m3m-woodshire-sector-107-gurgaon-1366-sq-ft-spid-G60866712
"
12,"18,000",2BHK 2Baths ,Independent/Builder Floor for Rent,Vatika India Next Sector-82 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-vatika-india-next-sector-82-gurgaon-1700-sq-ft-spid-F62944480
"
13,"19,000",2BHK 2Baths ,Residential Apartment for Rent,Godrej 101 Sector-79 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-godrej-101-sector-79-gurgaon-1572-sq-ft-spid-P62747842
"
14,"19,000",2BHK 2Baths ,Residential Apartment for Rent,Ansal API Valley View Estate Gwal Pahari,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-ansal-api-valley-view-estate-gwal-pahari-gurgaon-1300-sq-ft-spid-W62856046
"
15,"21,000",2BHK 2Baths ,Independent/Builder Floor for Rent,Eros Rosewood Villas Sector-49 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-eros-rosewood-villas-sector-49-gurgaon-1000-sq-ft-spid-E62866154
"
16,"24,000",2BHK 2Baths ,Residential Apartment for Rent,Puri Emerald Bay Sector-104 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-puri-emerald-bay-sector-104-gurgaon-1550-sq-ft-spid-L62798532
"
17,"29,000",2BHK 2Baths ,Independent/Builder Floor for Rent,Sector-51 Gurgaon ,"https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-sector-51-gurgaon-1700-sq-ft-spid-I62292188
"
18,"30,000",2Bedrooms 2Baths ,Independent House/Villa for Rent,Eros Rosewood Villas Sector-49 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-rent-in-eros-rosewood-villas-sector-49-gurgaon-1350-sq-ft-spid-X62865832
"
19,"35,000",2BHK 2Baths ,Residential Apartment for Rent,Experion Windchants Sector-112 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-experion-windchants-sector-112-gurgaon-2441-sq-ft-spid-Q62888340
"
20,"35,000",2BHK 2Baths ,Residential Apartment for Rent,AWHO Sujjan Vihar Sector-43 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-awho-sujjan-vihar-sector-43-gurgaon-1350-sq-ft-spid-Y62774904
"
21,"36,000",2BHK 2Baths ,Residential Apartment for Rent,M3M Sierra 68 Sector-68 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-m3m-sierra-68-sector-68-gurgaon-1507-sq-ft-spid-Q62827680
"
22,"36,000",2BHK 2Baths ,Residential Apartment for Rent,M3M Sierra 68 Sector-68 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-m3m-sierra-68-sector-68-gurgaon-1222-sq-ft-spid-G62801952
"
23,"36,000",2BHK 2Baths ,Residential Apartment for Rent,M3M Sierra 68 Sector-68 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-m3m-sierra-68-sector-68-gurgaon-1507-sq-ft-spid-V62752770
"
24,"38,000",2BHK 2Baths ,Residential Apartment for Rent,Pioneer Park Sector-61 Gurgaon,"https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-pioneer-park-sector-61-gurgaon-1200-sq-ft-spid-D62411282
"
25,"40,000",2Bedrooms 2Baths ,Independent House/Villa for Rent,DLF CITY PHASE 2 ,"https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-rent-in-dlf-city-phase-2-gurgaon-1935-sq-ft-spid-C62713434
"
26,"45,000",2BHK 3Baths ,Independent/Builder Floor for Rent,South City 1 ,"https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-south-city-1-gurgaon-1600-sq-ft-spid-L62952302
"
